,REF_DATE,GEO,Sex,Primary types of cancer ,Trends,Characteristics,UOM,SCALAR_FACTOR,VALUE
955,2021,Canada,Males,Soft tissue (including heart),Overall trend since 1984,Start year of period,Number,units,1984.0
956,2021,Canada,Males,Soft tissue (including heart),Overall trend since 1984,End year of period,Number,units,2020.0
957,2021,Canada,Males,Soft tissue (including heart),Overall trend within the last ten years,Annual percent change (APC),Percentage,units,-0.2
958,2021,Canada,Males,Soft tissue (including heart),Overall trend within the last ten years,Start year of period,Number,units,2011.0
959,2021,Canada,Males,Soft tissue (including heart),Overall trend within the last ten years,End year of period,Number,units,2020.0
960,2021,Canada,Males,Melanomas of the skin,First trend,Annual percent change (APC),Percentage,units,1.3
961,2021,Canada,Males,Melanomas of the skin,First trend,Start year of period,Number,units,1984.0
962,2021,Canada,Males,Melanomas of the skin,First trend,End year of period,Number,units,2013.0
963,2021,Canada,Males,Melanomas of the skin,Second trend,Annual percent change (APC),Percentage,units,-2.6
964,2021,Canada,Males,Melanomas of the skin,Second trend,Start year of period,Number,units,2013.0
965,2021,Canada,Males,Melanomas of the skin,Second trend,End year of period,Number,units,2020.0
966,2021,Canada,Males,Melanomas of the skin,Third trend,Annual percent change (APC),Percentage,units,
967,2021,Canada,Males,Melanomas of the skin,Third trend,Start year of period,Number,units,
968,2021,Canada,Males,Melanomas of the skin,Third trend,End year of period,Number,units,
969,2021,Canada,Males,Melanomas of the skin,Fourth trend,Annual percent change (APC),Percentage,units,
970,2021,Canada,Males,Melanomas of the skin,Fourth trend,Start year of period,Number,units,
971,2021,Canada,Males,Melanomas of the skin,Fourth trend,End year of period,Number,units,
972,2021,Canada,Males,Melanomas of the skin,Fifth trend,Annual percent change (APC),Percentage,units,
973,2021,Canada,Males,Melanomas of the skin,Fifth trend,Start year of period,Number,units,
974,2021,Canada,Males,Melanomas of the skin,Fifth trend,End year of period,Number,units,
975,2021,Canada,Males,Melanomas of the skin,Latest trend,Annual percent change (APC),Percentage,units,-2.6
976,2021,Canada,Males,Melanomas of the skin,Latest trend,Start year of period,Number,units,2013.0
977,2021,Canada,Males,Melanomas of the skin,Latest trend,End year of period,Number,units,2020.0
978,2021,Canada,Males,Melanomas of the skin,Overall trend since 1984,Annual percent change (APC),Percentage,units,0.5
979,2021,Canada,Males,Melanomas of the skin,Overall trend since 1984,Start year of period,Number,units,1984.0
980,2021,Canada,Males,Melanomas of the skin,Overall trend since 1984,End year of period,Number,units,2020.0
981,2021,Canada,Males,Melanomas of the skin,Overall trend within the last ten years,Annual percent change (APC),Percentage,units,-1.8
982,2021,Canada,Males,Melanomas of the skin,Overall trend within the last ten years,Start year of period,Number,units,2011.0
983,2021,Canada,Males,Melanomas of the skin,Overall trend within the last ten years,End year of period,Number,units,2020.0
984,2021,Canada,Males,Breast,First trend,Annual percent change (APC),Percentage,units,-0.9
985,2021,Canada,Males,Breast,First trend,Start year of period,Number,units,1984.0
986,2021,Canada,Males,Breast,First trend,End year of period,Number,units,2020.0
987,2021,Canada,Males,Breast,Second trend,Annual percent change (APC),Percentage,units,
988,2021,Canada,Males,Breast,Second trend,Start year of period,Number,units,
989,2021,Canada,Males,Breast,Second trend,End year of period,Number,units,
990,2021,Canada,Males,Breast,Third trend,Annual percent change (APC),Percentage,units,
991,2021,Canada,Males,Breast,Third trend,Start year of period,Number,units,
992,2021,Canada,Males,Breast,Third trend,End year of period,Number,units,
993,2021,Canada,Males,Breast,Fourth trend,Annual percent change (APC),Percentage,units,
994,2021,Canada,Males,Breast,Fourth trend,Start year of period,Number,units,
995,2021,Canada,Males,Breast,Fourth trend,End year of period,Number,units,
996,2021,Canada,Males,Breast,Fifth trend,Annual percent change (APC),Percentage,units,
997,2021,Canada,Males,Breast,Fifth trend,Start year of period,Number,units,
998,2021,Canada,Males,Breast,Fifth trend,End year of period,Number,units,
999,2021,Canada,Males,Breast,Latest trend,Annual percent change (APC),Percentage,units,-0.9
1000,2021,Canada,Males,Breast,Latest trend,Start year of period,Number,units,1984.0
1001,2021,Canada,Males,Breast,Latest trend,End year of period,Number,units,2020.0
1002,2021,Canada,Males,Breast,Overall trend since 1984,Annual percent change (APC),Percentage,units,-0.9
1003,2021,Canada,Males,Breast,Overall trend since 1984,Start year of period,Number,units,1984.0
1004,2021,Canada,Males,Breast,Overall trend since 1984,End year of period,Number,units,2020.0
1005,2021,Canada,Males,Breast,Overall trend within the last ten years,Annual percent change (APC),Percentage,units,-0.9
1006,2021,Canada,Males,Breast,Overall trend within the last ten years,Start year of period,Number,units,2011.0
1007,2021,Canada,Males,Breast,Overall trend within the last ten years,End year of period,Number,units,2020.0
1008,2021,Canada,Males,Prostate,First trend,Annual percent change (APC),Percentage,units,1.3
1009,2021,Canada,Males,Prostate,First trend,Start year of period,Number,units,1984.0
1010,2021,Canada,Males,Prostate,First trend,End year of period,Number,units,1994.0
1011,2021,Canada,Males,Prostate,Second trend,Annual percent change (APC),Percentage,units,-2.8
1012,2021,Canada,Males,Prostate,Second trend,Start year of period,Number,units,1994.0
1013,2021,Canada,Males,Prostate,Second trend,End year of period,Number,units,2012.0
1014,2021,Canada,Males,Prostate,Third trend,Annual percent change (APC),Percentage,units,-1.6
1015,2021,Canada,Males,Prostate,Third trend,Start year of period,Number,units,2012.0
1016,2021,Canada,Males,Prostate,Third trend,End year of period,Number,units,2020.0
1017,2021,Canada,Males,Prostate,Fourth trend,Annual percent change (APC),Percentage,units,
1018,2021,Canada,Males,Prostate,Fourth trend,Start year of period,Number,units,
1019,2021,Canada,Males,Prostate,Fourth trend,End year of period,Number,units,
1020,2021,Canada,Males,Prostate,Fifth trend,Annual percent change (APC),Percentage,units,
1021,2021,Canada,Males,Prostate,Fifth trend,Start year of period,Number,units,
1022,2021,Canada,Males,Prostate,Fifth trend,End year of period,Number,units,
1023,2021,Canada,Males,Prostate,Latest trend,Annual percent change (APC),Percentage,units,-1.6
1024,2021,Canada,Males,Prostate,Latest trend,Start year of period,Number,units,2012.0
1025,2021,Canada,Males,Prostate,Latest trend,End year of period,Number,units,2020.0
1026,2021,Canada,Males,Prostate,Overall trend since 1984,Annual percent change (APC),Percentage,units,-1.4
1027,2021,Canada,Males,Prostate,Overall trend since 1984,Start year of period,Number,units,1984.0
1028,2021,Canada,Males,Prostate,Overall trend since 1984,End year of period,Number,units,2020.0
1029,2021,Canada,Males,Prostate,Overall trend within the last ten years,Annual percent change (APC),Percentage,units,-1.7
1030,2021,Canada,Males,Prostate,Overall trend within the last ten years,Start year of period,Number,units,2011.0
1031,2021,Canada,Males,Prostate,Overall trend within the last ten years,End year of period,Number,units,2020.0
1032,2021,Canada,Males,Testis,First trend,Annual percent change (APC),Percentage,units,-1.4
1033,2021,Canada,Males,Testis,First trend,Start year of period,Number,units,1984.0
1034,2021,Canada,Males,Testis,First trend,End year of period,Number,units,2020.0
1035,2021,Canada,Males,Testis,Second trend,Annual percent change (APC),Percentage,units,
1036,2021,Canada,Males,Testis,Second trend,Start year of period,Number,units,
1037,2021,Canada,Males,Testis,Second trend,End year of period,Number,units,
1038,2021,Canada,Males,Testis,Third trend,Annual percent change (APC),Percentage,units,
1039,2021,Canada,Males,Testis,Third trend,Start year of period,Number,units,
1040,2021,Canada,Males,Testis,Third trend,End year of period,Number,units,
1041,2021,Canada,Males,Testis,Fourth trend,Annual percent change (APC),Percentage,units,
1042,2021,Canada,Males,Testis,Fourth trend,Start year of period,Number,units,
1043,2021,Canada,Males,Testis,Fourth trend,End year of period,Number,units,
1044,2021,Canada,Males,Testis,Fifth trend,Annual percent change (APC),Percentage,units,
1045,2021,Canada,Males,Testis,Fifth trend,Start year of period,Number,units,
1046,2021,Canada,Males,Testis,Fifth trend,End year of period,Number,units,
1047,2021,Canada,Males,Testis,Latest trend,Annual percent change (APC),Percentage,units,-1.4
1048,2021,Canada,Males,Testis,Latest trend,Start year of period,Number,units,1984.0
1049,2021,Canada,Males,Testis,Latest trend,End year of period,Number,units,2020.0
1050,2021,Canada,Males,Testis,Overall trend since 1984,Annual percent change (APC),Percentage,units,-1.4
1051,2021,Canada,Males,Testis,Overall trend since 1984,Start year of period,Number,units,1984.0
1052,2021,Canada,Males,Testis,Overall trend since 1984,End year of period,Number,units,2020.0
1053,2021,Canada,Males,Testis,Overall trend within the last ten years,Annual percent change (APC),Percentage,units,-1.4
1054,2021,Canada,Males,Testis,Overall trend within the last ten years,Start year of period,Number,units,2011.0
1055,2021,Canada,Males,Testis,Overall trend within the last ten years,End year of period,Number,units,2020.0
1056,2021,Canada,Males,Urinary bladder (including in situ),First trend,Annual percent change (APC),Percentage,units,-0.4
1057,2021,Canada,Males,Urinary bladder (including in situ),First trend,Start year of period,Number,units,1984.0
1058,2021,Canada,Males,Urinary bladder (including in situ),First trend,End year of period,Number,units,2016.0
1059,2021,Canada,Males,Urinary bladder (including in situ),Second trend,Annual percent change (APC),Percentage,units,-3.4
1060,2021,Canada,Males,Urinary bladder (including in situ),Second trend,Start year of period,Number,units,2016.0
1061,2021,Canada,Males,Urinary bladder (including in situ),Second trend,End year of period,Number,units,2020.0
1062,2021,Canada,Males,Urinary bladder (including in situ),Third trend,Annual percent change (APC),Percentage,units,
1063,2021,Canada,Males,Urinary bladder (including in situ),Third trend,Start year of period,Number,units,
1064,2021,Canada,Males,Urinary bladder (including in situ),Third trend,End year of period,Number,units,
1065,2021,Canada,Males,Urinary bladder (including in situ),Fourth trend,Annual percent change (APC),Percentage,units,
1066,2021,Canada,Males,Urinary bladder (including in situ),Fourth trend,Start year of period,Number,units,
1067,2021,Canada,Males,Urinary bladder (including in situ),Fourth trend,End year of period,Number,units,
1068,2021,Canada,Males,Urinary bladder (including in situ),Fifth trend,Annual percent change (APC),Percentage,units,
1069,2021,Canada,Males,Urinary bladder (including in situ),Fifth trend,Start year of period,Number,units,
1070,2021,Canada,Males,Urinary bladder (including in situ),Fifth trend,End year of period,Number,units,
1071,2021,Canada,Males,Urinary bladder (including in situ),Latest trend,Annual percent change (APC),Percentage,units,-3.4
1072,2021,Canada,Males,Urinary bladder (including in situ),Latest trend,Start year of period,Number,units,2016.0
1073,2021,Canada,Males,Urinary bladder (including in situ),Latest trend,End year of period,Number,units,2020.0
1074,2021,Canada,Males,Urinary bladder (including in situ),Overall trend since 1984,Annual percent change (APC),Percentage,units,-0.8
1075,2021,Canada,Males,Urinary bladder (including in situ),Overall trend since 1984,Start year of period,Number,units,1984.0
1076,2021,Canada,Males,Urinary bladder (including in situ),Overall trend since 1984,End year of period,Number,units,2020.0
1077,2021,Canada,Males,Urinary bladder (including in situ),Overall trend within the last ten years,Annual percent change (APC),Percentage,units,-1.7
1078,2021,Canada,Males,Urinary bladder (including in situ),Overall trend within the last ten years,Start year of period,Number,units,2011.0
1079,2021,Canada,Males,Urinary bladder (including in situ),Overall trend within the last ten years,End year of period,Number,units,2020.0
1080,2021,Canada,Males,Kidney and renal pelvis,First trend,Annual percent change (APC),Percentage,units,-0.4
1081,2021,Canada,Males,Kidney and renal pelvis,First trend,Start year of period,Number,units,1984.0
1082,2021,Canada,Males,Kidney and renal pelvis,First trend,End year of period,Number,units,2014.0
1083,2021,Canada,Males,Kidney and renal pelvis,Second trend,Annual percent change (APC),Percentage,units,-3.1
1084,2021,Canada,Males,Kidney and renal pelvis,Second trend,Start year of period,Number,units,2014.0
1085,2021,Canada,Males,Kidney and renal pelvis,Second trend,End year of period,Number,units,2020.0
1086,2021,Canada,Males,Kidney and renal pelvis,Third trend,Annual percent change (APC),Percentage,units,
1087,2021,Canada,Males,Kidney and renal pelvis,Third trend,Start year of period,Number,units,
1088,2021,Canada,Males,Kidney and renal pelvis,Third trend,End year of period,Number,units,
1089,2021,Canada,Males,Kidney and renal pelvis,Fourth trend,Annual percent change (APC),Percentage,units,
1090,2021,Canada,Males,Kidney and renal pelvis,Fourth trend,Start year of period,Number,units,
1091,2021,Canada,Males,Kidney and renal pelvis,Fourth trend,End year of period,Number,units,
1092,2021,Canada,Males,Kidney and renal pelvis,Fifth trend,Annual percent change (APC),Percentage,units,
1093,2021,Canada,Males,Kidney and renal pelvis,Fifth trend,Start year of period,Number,units,
1094,2021,Canada,Males,Kidney and renal pelvis,Fifth trend,End year of period,Number,units,
1095,2021,Canada,Males,Kidney and renal pelvis,Latest trend,Annual percent change (APC),Percentage,units,-3.1
1096,2021,Canada,Males,Kidney and renal pelvis,Latest trend,Start year of period,Number,units,2014.0
1097,2021,Canada,Males,Kidney and renal pelvis,Latest trend,End year of period,Number,units,2020.0
1098,2021,Canada,Males,Kidney and renal pelvis,Overall trend since 1984,Annual percent change (APC),Percentage,units,-0.8
1099,2021,Canada,Males,Kidney and renal pelvis,Overall trend since 1984,Start year of period,Number,units,1984.0
1100,2021,Canada,Males,Kidney and renal pelvis,Overall trend since 1984,End year of period,Number,units,2020.0
1101,2021,Canada,Males,Kidney and renal pelvis,Overall trend within the last ten years,Annual percent change (APC),Percentage,units,-2.2
1102,2021,Canada,Males,Kidney and renal pelvis,Overall trend within the last ten years,Start year of period,Number,units,2011.0
1103,2021,Canada,Males,Kidney and renal pelvis,Overall trend within the last ten years,End year of period,Number,units,2020.0
1104,2021,Canada,Males,Brain and central nervous system,First trend,Annual percent change (APC),Percentage,units,-0.5
1105,2021,Canada,Males,Brain and central nervous system,First trend,Start year of period,Number,units,1984.0
1106,2021,Canada,Males,Brain and central nervous system,First trend,End year of period,Number,units,2003.0
1107,2021,Canada,Males,Brain and central nervous system,Second trend,Annual percent change (APC),Percentage,units,0.2
1108,2021,Canada,Males,Brain and central nervous system,Second trend,Start year of period,Number,units,2003.0
1109,2021,Canada,Males,Brain and central nervous system,Second trend,End year of period,Number,units,2020.0
1110,2021,Canada,Males,Brain and central nervous system,Third trend,Annual percent change (APC),Percentage,units,
1111,2021,Canada,Males,Brain and central nervous system,Third trend,Start year of period,Number,units,
1112,2021,Canada,Males,Brain and central nervous system,Third trend,End year of period,Number,units,
1113,2021,Canada,Males,Brain and central nervous system,Fourth trend,Annual percent change (APC),Percentage,units,
1114,2021,Canada,Males,Brain and central nervous system,Fourth trend,Start year of period,Number,units,
1115,2021,Canada,Males,Brain and central nervous system,Fourth trend,End year of period,Number,units,
1116,2021,Canada,Males,Brain and central nervous system,Fifth trend,Annual percent change (APC),Percentage,units,
1117,2021,Canada,Males,Brain and central nervous system,Fifth trend,Start year of period,Number,units,
1118,2021,Canada,Males,Brain and central nervous system,Fifth trend,End year of period,Number,units,
1119,2021,Canada,Males,Brain and central nervous system,Latest trend,Annual percent change (APC),Percentage,units,0.2
1120,2021,Canada,Males,Brain and central nervous system,Latest trend,Start year of period,Number,units,2003.0
1121,2021,Canada,Males,Brain and central nervous system,Latest trend,End year of period,Number,units,2020.0
1122,2021,Canada,Males,Brain and central nervous system,Overall trend since 1984,Annual percent change (APC),Percentage,units,-0.2
1123,2021,Canada,Males,Brain and central nervous system,Overall trend since 1984,Start year of period,Number,units,1984.0
1124,2021,Canada,Males,Brain and central nervous system,Overall trend since 1984,End year of period,Number,units,2020.0
1125,2021,Canada,Males,Brain and central nervous system,Overall trend within the last ten years,Annual percent change (APC),Percentage,units,0.2
1126,2021,Canada,Males,Brain and central nervous system,Overall trend within the last ten years,Start year of period,Number,units,2011.0
1127,2021,Canada,Males,Brain and central nervous system,Overall trend within the last ten years,End year of period,Number,units,2020.0
1128,2021,Canada,Males,Thyroid,First trend,Annual percent change (APC),Percentage,units,0.7
1129,2021,Canada,Males,Thyroid,First trend,Start year of period,Number,units,1984.0
1130,2021,Canada,Males,Thyroid,First trend,End year of period,Number,units,2020.0
1131,2021,Canada,Males,Thyroid,Second trend,Annual percent change (APC),Percentage,units,
1132,2021,Canada,Males,Thyroid,Second trend,Start year of period,Number,units,
1133,2021,Canada,Males,Thyroid,Second trend,End year of period,Number,units,
1134,2021,Canada,Males,Thyroid,Third trend,Annual percent change (APC),Percentage,units,
1135,2021,Canada,Males,Thyroid,Third trend,Start year of period,Number,units,
1136,2021,Canada,Males,Thyroid,Third trend,End year of period,Number,units,
1137,2021,Canada,Males,Thyroid,Fourth trend,Annual percent change (APC),Percentage,units,
1138,2021,Canada,Males,Thyroid,Fourth trend,Start year of period,Number,units,
1139,2021,Canada,Males,Thyroid,Fourth trend,End year of period,Number,units,
1140,2021,Canada,Males,Thyroid,Fifth trend,Annual percent change (APC),Percentage,units,
1141,2021,Canada,Males,Thyroid,Fifth trend,Start year of period,Number,units,
1142,2021,Canada,Males,Thyroid,Fifth trend,End year of period,Number,units,
1143,2021,Canada,Males,Thyroid,Latest trend,Annual percent change (APC),Percentage,units,0.7
1144,2021,Canada,Males,Thyroid,Latest trend,Start year of period,Number,units,1984.0
1145,2021,Canada,Males,Thyroid,Latest trend,End year of period,Number,units,2020.0
1146,2021,Canada,Males,Thyroid,Overall trend since 1984,Annual percent change (APC),Percentage,units,0.7
1147,2021,Canada,Males,Thyroid,Overall trend since 1984,Start year of period,Number,units,1984.0
1148,2021,Canada,Males,Thyroid,Overall trend since 1984,End year of period,Number,units,2020.0
1149,2021,Canada,Males,Thyroid,Overall trend within the last ten years,Annual percent change (APC),Percentage,units,0.7
1150,2021,Canada,Males,Thyroid,Overall trend within the last ten years,Start year of period,Number,units,2011.0
1151,2021,Canada,Males,Thyroid,Overall trend within the last ten years,End year of period,Number,units,2020.0
1152,2021,Canada,Males,Hodgkin lymphoma,First trend,Annual percent change (APC),Percentage,units,-5.2
1153,2021,Canada,Males,Hodgkin lymphoma,First trend,Start year of period,Number,units,1984.0
1154,2021,Canada,Males,Hodgkin lymphoma,First trend,End year of period,Number,units,1996.0
1155,2021,Canada,Males,Hodgkin lymphoma,Second trend,Annual percent change (APC),Percentage,units,-2.5
1156,2021,Canada,Males,Hodgkin lymphoma,Second trend,Start year of period,Number,units,1996.0
1157,2021,Canada,Males,Hodgkin lymphoma,Second trend,End year of period,Number,units,2020.0
1158,2021,Canada,Males,Hodgkin lymphoma,Third trend,Annual percent change (APC),Percentage,units,
1159,2021,Canada,Males,Hodgkin lymphoma,Third trend,Start year of period,Number,units,
1160,2021,Canada,Males,Hodgkin lymphoma,Third trend,End year of period,Number,units,
1161,2021,Canada,Males,Hodgkin lymphoma,Fourth trend,Annual percent change (APC),Percentage,units,
1162,2021,Canada,Males,Hodgkin lymphoma,Fourth trend,Start year of period,Number,units,
1163,2021,Canada,Males,Hodgkin lymphoma,Fourth trend,End year of period,Number,units,
1164,2021,Canada,Males,Hodgkin lymphoma,Fifth trend,Annual percent change (APC),Percentage,units,
1165,2021,Canada,Males,Hodgkin lymphoma,Fifth trend,Start year of period,Number,units,
1166,2021,Canada,Males,Hodgkin lymphoma,Fifth trend,End year of period,Number,units,
1167,2021,Canada,Males,Hodgkin lymphoma,Latest trend,Annual percent change (APC),Percentage,units,-2.5
1168,2021,Canada,Males,Hodgkin lymphoma,Latest trend,Start year of period,Number,units,1996.0
1169,2021,Canada,Males,Hodgkin lymphoma,Latest trend,End year of period,Number,units,2020.0
1170,2021,Canada,Males,Hodgkin lymphoma,Overall trend since 1984,Annual percent change (APC),Percentage,units,-3.4
1171,2021,Canada,Males,Hodgkin lymphoma,Overall trend since 1984,Start year of period,Number,units,1984.0
1172,2021,Canada,Males,Hodgkin lymphoma,Overall trend since 1984,End year of period,Number,units,2020.0
1173,2021,Canada,Males,Hodgkin lymphoma,Overall trend within the last ten years,Annual percent change (APC),Percentage,units,-2.5
1174,2021,Canada,Males,Hodgkin lymphoma,Overall trend within the last ten years,Start year of period,Number,units,2011.0
1175,2021,Canada,Males,Hodgkin lymphoma,Overall trend within the last ten years,End year of period,Number,units,2020.0
1176,2021,Canada,Males,"Non-Hodgkin lymphoma
",First trend,Annual percent change (APC),Percentage,units,1.8
1177,2021,Canada,Males,"Non-Hodgkin lymphoma
",First trend,Start year of period,Number,units,1984.0
1178,2021,Canada,Males,"Non-Hodgkin lymphoma
",First trend,End year of period,Number,units,2000.0
1179,2021,Canada,Males,"Non-Hodgkin lymphoma
",Second trend,Annual percent change (APC),Percentage,units,-2.4
1180,2021,Canada,Males,"Non-Hodgkin lymphoma
",Second trend,Start year of period,Number,units,2000.0
1181,2021,Canada,Males,"Non-Hodgkin lymphoma
",Second trend,End year of period,Number,units,2010.0
1182,2021,Canada,Males,"Non-Hodgkin lymphoma
",Third trend,Annual percent change (APC),Percentage,units,-0.9
1183,2021,Canada,Males,"Non-Hodgkin lymphoma
",Third trend,Start year of period,Number,units,2010.0
1184,2021,Canada,Males,"Non-Hodgkin lymphoma
",Third trend,End year of period,Number,units,2020.0
1185,2021,Canada,Males,"Non-Hodgkin lymphoma
",Fourth trend,Annual percent change (APC),Percentage,units,
1186,2021,Canada,Males,"Non-Hodgkin lymphoma
",Fourth trend,Start year of period,Number,units,
1187,2021,Canada,Males,"Non-Hodgkin lymphoma
",Fourth trend,End year of period,Number,units,
1188,2021,Canada,Males,"Non-Hodgkin lymphoma
",Fifth trend,Annual percent change (APC),Percentage,units,
1189,2021,Canada,Males,"Non-Hodgkin lymphoma
",Fifth trend,Start year of period,Number,units,
1190,2021,Canada,Males,"Non-Hodgkin lymphoma
",Fifth trend,End year of period,Number,units,
1191,2021,Canada,Males,"Non-Hodgkin lymphoma
",Latest trend,Annual percent change (APC),Percentage,units,-0.9
1192,2021,Canada,Males,"Non-Hodgkin lymphoma
",Latest trend,Start year of period,Number,units,2010.0
1193,2021,Canada,Males,"Non-Hodgkin lymphoma
",Latest trend,End year of period,Number,units,2020.0
1194,2021,Canada,Males,"Non-Hodgkin lymphoma
",Overall trend since 1984,Annual percent change (APC),Percentage,units,-0.1
1195,2021,Canada,Males,"Non-Hodgkin lymphoma
",Overall trend since 1984,Start year of period,Number,units,1984.0
1196,2021,Canada,Males,"Non-Hodgkin lymphoma
",Overall trend since 1984,End year of period,Number,units,2020.0
1197,2021,Canada,Males,"Non-Hodgkin lymphoma
",Overall trend within the last ten years,Annual percent change (APC),Percentage,units,-0.9
1198,2021,Canada,Males,"Non-Hodgkin lymphoma
",Overall trend within the last ten years,Start year of period,Number,units,2011.0
1199,2021,Canada,Males,"Non-Hodgkin lymphoma
",Overall trend within the last ten years,End year of period,Number,units,2020.0
1200,2021,Canada,Males,Myeloma,First trend,Annual percent change (APC),Percentage,units,2.0
1201,2021,Canada,Males,Myeloma,First trend,Start year of period,Number,units,1984.0
1202,2021,Canada,Males,Myeloma,First trend,End year of period,Number,units,1990.0
1203,2021,Canada,Males,Myeloma,Second trend,Annual percent change (APC),Percentage,units,-0.8
1204,2021,Canada,Males,Myeloma,Second trend,Start year of period,Number,units,1990.0
1205,2021,Canada,Males,Myeloma,Second trend,End year of period,Number,units,2020.0
1206,2021,Canada,Males,Myeloma,Third trend,Annual percent change (APC),Percentage,units,
1207,2021,Canada,Males,Myeloma,Third trend,Start year of period,Number,units,
1208,2021,Canada,Males,Myeloma,Third trend,End year of period,Number,units,
1209,2021,Canada,Males,Myeloma,Fourth trend,Annual percent change (APC),Percentage,units,
1210,2021,Canada,Males,Myeloma,Fourth trend,Start year of period,Number,units,
1211,2021,Canada,Males,Myeloma,Fourth trend,End year of period,Number,units,
1212,2021,Canada,Males,Myeloma,Fifth trend,Annual percent change (APC),Percentage,units,
1213,2021,Canada,Males,Myeloma,Fifth trend,Start year of period,Number,units,
1214,2021,Canada,Males,Myeloma,Fifth trend,End year of period,Number,units,
1215,2021,Canada,Males,Myeloma,Latest trend,Annual percent change (APC),Percentage,units,-0.8
1216,2021,Canada,Males,Myeloma,Latest trend,Start year of period,Number,units,1990.0
1217,2021,Canada,Males,Myeloma,Latest trend,End year of period,Number,units,2020.0
1218,2021,Canada,Males,Myeloma,Overall trend since 1984,Annual percent change (APC),Percentage,units,-0.3
1219,2021,Canada,Males,Myeloma,Overall trend since 1984,Start year of period,Number,units,1984.0
1220,2021,Canada,Males,Myeloma,Overall trend since 1984,End year of period,Number,units,2020.0
1221,2021,Canada,Males,Myeloma,Overall trend within the last ten years,Annual percent change (APC),Percentage,units,-0.8
1222,2021,Canada,Males,Myeloma,Overall trend within the last ten years,Start year of period,Number,units,2011.0
1223,2021,Canada,Males,Myeloma,Overall trend within the last ten years,End year of period,Number,units,2020.0
1224,2021,Canada,Males,Leukemia,First trend,Annual percent change (APC),Percentage,units,-1.0
1225,2021,Canada,Males,Leukemia,First trend,Start year of period,Number,units,1984.0
1226,2021,Canada,Males,Leukemia,First trend,End year of period,Number,units,2020.0
1227,2021,Canada,Males,Leukemia,Second trend,Annual percent change (APC),Percentage,units,
1228,2021,Canada,Males,Leukemia,Second trend,Start year of period,Number,units,
1229,2021,Canada,Males,Leukemia,Second trend,End year of period,Number,units,
1230,2021,Canada,Males,Leukemia,Third trend,Annual percent change (APC),Percentage,units,
1231,2021,Canada,Males,Leukemia,Third trend,Start year of period,Number,units,
1232,2021,Canada,Males,Leukemia,Third trend,End year of period,Number,units,
1233,2021,Canada,Males,Leukemia,Fourth trend,Annual percent change (APC),Percentage,units,
1234,2021,Canada,Males,Leukemia,Fourth trend,Start year of period,Number,units,
1235,2021,Canada,Males,Leukemia,Fourth trend,End year of period,Number,units,
1236,2021,Canada,Males,Leukemia,Fifth trend,Annual percent change (APC),Percentage,units,
1237,2021,Canada,Males,Leukemia,Fifth trend,Start year of period,Number,units,
1238,2021,Canada,Males,Leukemia,Fifth trend,End year of period,Number,units,
1239,2021,Canada,Males,Leukemia,Latest trend,Annual percent change (APC),Percentage,units,-1.0
1240,2021,Canada,Males,Leukemia,Latest trend,Start year of period,Number,units,1984.0
1241,2021,Canada,Males,Leukemia,Latest trend,End year of period,Number,units,2020.0
1242,2021,Canada,Males,Leukemia,Overall trend since 1984,Annual percent change (APC),Percentage,units,-1.0
1243,2021,Canada,Males,Leukemia,Overall trend since 1984,Start year of period,Number,units,1984.0
1244,2021,Canada,Males,Leukemia,Overall trend since 1984,End year of period,Number,units,2020.0
1245,2021,Canada,Males,Leukemia,Overall trend within the last ten years,Annual percent change (APC),Percentage,units,-1.0
1246,2021,Canada,Males,Leukemia,Overall trend within the last ten years,Start year of period,Number,units,2011.0
1247,2021,Canada,Males,Leukemia,Overall trend within the last ten years,End year of period,Number,units,2020.0
1248,2021,Canada,Males,Acute lymphocytic leukemia,First trend,Annual percent change (APC),Percentage,units,-1.8
1249,2021,Canada,Males,Acute lymphocytic leukemia,First trend,Start year of period,Number,units,1984.0
1250,2021,Canada,Males,Acute lymphocytic leukemia,First trend,End year of period,Number,units,2020.0
1251,2021,Canada,Males,Acute lymphocytic leukemia,Second trend,Annual percent change (APC),Percentage,units,
1252,2021,Canada,Males,Acute lymphocytic leukemia,Second trend,Start year of period,Number,units,
1253,2021,Canada,Males,Acute lymphocytic leukemia,Second trend,End year of period,Number,units,
1254,2021,Canada,Males,Acute lymphocytic leukemia,Third trend,Annual percent change (APC),Percentage,units,
1255,2021,Canada,Males,Acute lymphocytic leukemia,Third trend,Start year of period,Number,units,
1256,2021,Canada,Males,Acute lymphocytic leukemia,Third trend,End year of period,Number,units,
1257,2021,Canada,Males,Acute lymphocytic leukemia,Fourth trend,Annual percent change (APC),Percentage,units,
1258,2021,Canada,Males,Acute lymphocytic leukemia,Fourth trend,Start year of period,Number,units,
1259,2021,Canada,Males,Acute lymphocytic leukemia,Fourth trend,End year of period,Number,units,
1260,2021,Canada,Males,Acute lymphocytic leukemia,Fifth trend,Annual percent change (APC),Percentage,units,
1261,2021,Canada,Males,Acute lymphocytic leukemia,Fifth trend,Start year of period,Number,units,
1262,2021,Canada,Males,Acute lymphocytic leukemia,Fifth trend,End year of period,Number,units,
1263,2021,Canada,Males,Acute lymphocytic leukemia,Latest trend,Annual percent change (APC),Percentage,units,-1.8
1264,2021,Canada,Males,Acute lymphocytic leukemia,Latest trend,Start year of period,Number,units,1984.0
